PerUn,Target,Perceiver,TarUn,Dyad,Group,DyUn,EA_mean,BaselineEA,EA100,BaselineEA100,CrrctdEA,CrrctdEAnoneg,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9,imp10,imp11,imp12,imp13,imp14,imp15,Rapport,imp16,metaimp1,metaimp2,metaimp3,metaimp4,metaimp5,metaimp6,metatra1,metatra2,metatra3,metatra4,metatra5,metatra6,metatra7,metatra8,metatra9,metatra10,metaimp_crit1,metaimp_crit2,metaimp_crit3,metaimp_crit4,metaimp_crit5,metaimp_crit6,metatrait_crit1,metatrait_crit2,metatrait_crit3,metatrait_crit4,metatrait_crit5,metatrait_crit6,metatrait_crit7,metatrait_crit8,metatrait_crit9,metatrait_crit10,QualPres,per_sex,per_age,per_race,per_race_text,per_eng,per_eng_text,per_relat,per_year,per_major,per_health,per_gpa,per_InsecAttC,per_AnxAttC,per_AvoAttC,per_ASMtotC,per_AuthenticityC,per_MaskC,per_NTBc,per_LonelinessC,per_FNEc,per_beqposC,per_beqnegC,per_beqstrC,per_beqtotC,per_erqsupC,per_erqreaC,per_RSEc,per_SATc,per_POWc,per_SIASc,per_SPSc,per_SIAPSc,per_ExtrC,per_AgreeC,per_ConscC,per_NeurotC,per_IntellC,per_OpenC,per_TrustC,tar_sex,tar_age,tar_race,tar_race_text,tar_eng,tar_eng_text,tar_relat,tar_year,tar_major,tar_health,tar_gpa,tar_InsecAttC,tar_AnxAttC,tar_AvoAttC,tar_ASMtotC,tar_AuthenticityC,tar_MaskC,tar_NTBc,tar_LonelinessC,tar_FNEc,tar_beqposC,tar_beqnegC,tar_beqstrC,tar_beqtotC,tar_erqsupC,tar_erqreaC,tar_RSEc,tar_SATc,tar_POWc,tar_SIASc,tar_SPSc,tar_SIAPSc,tar_ExtrC,tar_AgreeC,tar_ConscC,tar_NeurotC,tar_IntellC,tar_OpenC,tar_TrustC
1022,C,A,7022,AC,22,22.02, ,0, ,0, , ,6,5,6,6,5,6,6,6,6,6,4,4,5,3,2,5.06666666666667,3,5,5,5,6,3,4,4,4,4,6,5,4,4,4,2,4,6,6,6,4,2,1,6,6,5,5,6,5,2,5,2,3,0,1,19,1,99,1,99,5,2,PSY/CH,3,3.6, , , , , , , , , , , , , , , , , , , , , ,1.34575590476191,-38.6272146666667,-2.51610266666665,12.3590986666667,14.1706928888889,21.2560386666667,-12.399356,1,22,2,0,2,0,3,4,0,2,3.1,-11.056466,-18.9663026666667,-27.23133,-18.4859312051282,.379477555555539,-38.3136093076923,-8.452381,12.5750696666667,-56.595325,-23.884335,3.70674,-13.251366,-9.551837,-39.6901713333333,-43.6813187777778,-18.069217,-22.2404366666667,1.76457233333334,-30.843959,-32.02793,-31.440084,8.48861304761905,-9.460548,-2.51610266666665,16.5257653333333,-19.1626404444444,-12.0772946666667,-4.06602266666665
1007,B,A,6007,AB,7,7.01, , , , , , ,6,5,6,6,5,6,7,5,5,6,3,1,6,1,1,4.6,2,6,5,6,5,1,2,5,3,2,6,5,3,5,6,5,3,6,6,6,6,2,2,5,5,5,5,5,5,2,5,2,2,1,-1,18,5,99,1,99,5,1,psychology,1,3.6,-17.7231326666667,-23.1329693333333,-39.73133,-26.1782388974359,25.3794775555555,-31.9033528974359,-38.452381,-20.341597,-51.0397694444444,9.44899833333335,14.8178511111111,20.0819673333333,15.448163,-43.856838,-32.5702076666667,23.5974496666667,11.0928966666667,20.5145723333333,-30.843959,-32.02793,-31.440084,34.6790892380952,-5.29388133333335,-19.1827693333333,-4.307568,25.281804,29.589372,12.600644,1,19,5,0,1,0,5,1,0,1,3.6, , , , , , , , , , , , , , , , , , , , , ,6.10766066666666,-21.960548,22.4838973333333,8.192432,8.61513733333334,4.589372,-4.06602266666665
1007,C,A,7007,AC,7,7.02, , , , , , ,6,6,6,6,6,6,6,4,5,6,5,1,5,1,2,4.73333333333333,1,6,6,6,4,2,2,5,3,2,6,4,3,6,6,2,3,6,5,5,1,2,2,3,6,2,2,3,5,2,6,6,2,1,-1,18,5,99,1,99,5,1,psychology,1,3.6,-17.7231326666667,-23.1329693333333,-39.73133,-26.1782388974359,25.3794775555555,-31.9033528974359,-38.452381,-20.341597,-51.0397694444444,9.44899833333335,14.8178511111111,20.0819673333333,15.448163,-43.856838,-32.5702076666667,23.5974496666667,11.0928966666667,20.5145723333333,-30.843959,-32.02793,-31.440084,34.6790892380952,-5.29388133333335,-19.1827693333333,-4.307568,25.281804,29.589372,12.600644,-1,18,5,0,1,0,3,1,0,1, ,-21.056466,-14.799636,-23.0646633333333,-19.7679824871795,14.2683664444445,-22.9289939230769,-28.452381,-.341597,-56.595325,-36.384335,-32.4043711111111,-52.1402548888889,-40.801837,-6.356838,-13.1257632222222,-8.06921699999999,-42.2404366666667,12.181239,-30.843959,-32.02793,-31.440084,-20.0828155238095,7.20611866666665,26.650564,-20.9742346666667,3.05958177777778,21.2560386666667,12.600644
1007,D,A,8007,AD,7,7.03, , , , , , ,3,5,6,5,3,5,5,5,5,3,3,1,3,1,3,3.73333333333333,3,5,3,5,5,1,5,3,3,3,6,3,3,6,6,3,5,6,6,5,4,2,2,4,4,2,6,4,4,4,4,4,4,1,-1,18,5,99,1,99,5,1,psychology,1,3.6,-17.7231326666667,-23.1329693333333,-39.73133,-26.1782388974359,25.3794775555555,-31.9033528974359,-38.452381,-20.341597,-51.0397694444444,9.44899833333335,14.8178511111111,20.0819673333333,15.448163,-43.856838,-32.5702076666667,23.5974496666667,11.0928966666667,20.5145723333333,-30.843959,-32.02793,-31.440084,34.6790892380952,-5.29388133333335,-19.1827693333333,-4.307568,25.281804,29.589372,12.600644,1,21,5,0,1,0,5,4,0,2,3.75,12.2768673333333,1.86703066666667,-14.73133,.74483802564103,-2.39830022222222, , ,-12.0082636666667,-23.2619916666667,-40.5510016666667,3.70674,-29.9180326666667,-19.9685036666667, , ,-11.4025503333333,-32.2404366666667,-8.65209433333334,-.288403444444448,-15.3612633333333,-7.82897288888888,18.0124225714286,-5.29388133333335,-2.51610266666665,-12.6409013333333,3.05958177777778,-3.74396133333335,-4.06602266666665
1009,B,A,6009,AB,9,9.01, , , , , , ,7,6,7,7,7,7,7,5,7,7,5,2,3,1,1,5.26666666666667,3,6,6,5,4,3,1,4,4,4,5,4,4,4,4,4,4,7,7,7,6,1,1,6,6,2,7,6,6,2,3,2,4,1,1,20,2,99,1,99,5,3,undecided,5,3.4,12.2768673333333,1.86703066666667,-6.39799666666667,3.30894058974359,-12.1205224444444,2.71203171794872,18.2142856666667,19.658403,23.9602305555555,5.28233166666666,37.0400733333333,14.5264117777778,20.6564963333333,-39.6901713333333,-18.6813187777778,-26.4025503333333,-65.57377,-33.6520943333333,8.04492988888889,15.1942922222222,11.6154715555556,-10.559006,-5.29388133333335,9.98389733333335,33.192432,-19.1626404444444,-3.74396133333335,12.600644,1,21,5,0,1,0,2,4,0,1,3.8,-4.38979933333333,-35.6329693333333,-35.5646633333333,-23.6141363333333,10.1016997777778,-37.031558025641,13.2142856666667,-17.0082636666667,-9.37310277777777,9.44899833333335,17.5956288888889,-4.91803266666666,7.11482966666666,-39.6901713333333,14.6520145555555,21.930783,4.42623,14.2645723333333,-25.2884034444444,-23.6945966666667,-24.4956395555556,27.5362320952381,28.039452,18.3172306666667,-25.1409013333333,8.61513733333334,-20.410628,12.600644
1009,C,A,7009,AC,9,9.02, , , , , , ,7,5,7,7,5,7,7,4,3,5,2,2,2,1,1,4.33333333333333,3,6,5,5,4,1,1,4,4,4,6,4,4,4,5,4,4,7,7,7,6,4,2,7,4,2,6,6,6,6,6,4,4,1,1,20,2,99,1,99,5,3,undecided,5,3.4,12.2768673333333,1.86703066666667,-6.39799666666667,3.30894058974359,-12.1205224444444,2.71203171794872,18.2142856666667,19.658403,23.9602305555555,5.28233166666666,37.0400733333333,14.5264117777778,20.6564963333333,-39.6901713333333,-18.6813187777778,-26.4025503333333,-65.57377,-33.6520943333333,8.04492988888889,15.1942922222222,11.6154715555556,-10.559006,-5.29388133333335,9.98389733333335,33.192432,-19.1626404444444,-3.74396133333335,12.600644,-1,21,2,0,2,0,5,2,0,2, ,-4.38979933333333,18.5336973333333,-23.0646633333333,-3.10131582051282,17.0461442222222,6.55818556410257,-11.7857143333333,-8.67493033333333,-10.7619916666667,-7.21766833333334,20.3734066666667,-10.4735882222222,1.90649633333334,-18.856838,.763125666666653,3.59744966666668,-2.24043666666667,8.01457233333334,-22.5106256666667,-9.80570777777778,-16.1623062222222,-15.3209107619048,-1.12721466666666,-23.349436,8.192432,3.05958177777778,21.2560386666667,-4.06602266666665
1009,D,A,8009,AD,9,9.03, , , , , , ,5,3,5,5,5,5,5,5,5,3,2,1,2,2,2,3.66666666666667,3,5,5,5,5,2,2,4,4,3,3,4,4,4,4,4,4,5,5,3,3,1,3,3,3,3,5,5,6,5,4,2,2,1,1,20,2,99,1,99,5,3,undecided,5,3.4,12.2768673333333,1.86703066666667,-6.39799666666667,3.30894058974359,-12.1205224444444,2.71203171794872,18.2142856666667,19.658403,23.9602305555555,5.28233166666666,37.0400733333333,14.5264117777778,20.6564963333333,-39.6901713333333,-18.6813187777778,-26.4025503333333,-65.57377,-33.6520943333333,8.04492988888889,15.1942922222222,11.6154715555556,-10.559006,-5.29388133333335,9.98389733333335,33.192432,-19.1626404444444,-3.74396133333335,12.600644,-1,20,5,0,1,0,4,2,0,1,2.57,-17.7231326666667,-35.6329693333333,-35.5646633333333,-28.7423414615385,19.823922,-26.7751477692308,-20.1190476666667,-18.6749303333333,-46.8731027777778,-15.5510016666667,-7.4043711111111,-49.3624771111111,-25.176837,-18.856838,-27.0146521111111,6.93078300000001,-2.24043666666667,16.3479056666667,-19.7328478888889,-32.02793,-25.8845284444444,-8.17805361904761,-9.460548,-2.51610266666665,-20.9742346666667,-8.05152933333335,12.9227053333333,-4.06602266666665
1010,B,A,6010,AB,10,10.01, , , , , , ,5,3,4,4,2,3,5,2,5,4,2,2,2,2,3,3.2,2,4,5,3,2,3,2,5,4,5,6,4,5,5,4,3,5,5,5,2,1,4,2,4,4,4,4,4,4,4,4,4,4,1,1,19,5,99,1,99,5,2,Music Humanities,3,3.4,5.61020066666666,18.5336973333333,-2.23133,7.15509443589744,-3.78718911111111,-22.9289939230769,6.547619,16.3250696666667,-28.8175472222222,5.28233166666666,25.9289622222222,17.3041895555555,17.5314963333333,-39.6901713333333,-13.1257632222222,1.93078300000001,-8.90710333333333,-4.48542766666667,-19.7328478888889,-18.1390411111111,-18.940084,1.34575590476191,-21.960548,1.650564,16.5257653333333,3.05958177777778,4.589372,-12.399356,1,18,5,0,1,0,3,1,0,2,3.6,12.2768673333333,1.86703066666667,-6.39799666666667,3.30894058974359,-2.39830022222222,-10.1084811025641,-15.1190476666667,-13.6749303333333,-23.2619916666667,-40.5510016666667,3.70674,-29.9180326666667,-19.9685036666667,-10.5235046666667,-32.5702076666667,-18.069217,-32.2404366666667,-12.818761,2.48937433333333,1.30540333333333,1.89324933333333,18.0124225714286,15.539452,-10.849436,-25.1409013333333,3.05958177777778,4.589372,12.600644
1010,C,A,7010,AC,10,10.02, , , , , , ,6,5,6,5,4,6,6,3,5,5,5,2,3,2,1,4.26666666666667,3,6,5,5,2,4,3,5,4,5,6,7,5,4,5,4,5,4,5,4,4,5,2,5,5,2,6,6,6,6,6,2,2,1,1,19,5,99,1,99,5,2,Music Humanities,3,3.4,5.61020066666666,18.5336973333333,-2.23133,7.15509443589744,-3.78718911111111,-22.9289939230769,6.547619,16.3250696666667,-28.8175472222222,5.28233166666666,25.9289622222222,17.3041895555555,17.5314963333333,-39.6901713333333,-13.1257632222222,1.93078300000001,-8.90710333333333,-4.48542766666667,-19.7328478888889,-18.1390411111111,-18.940084,1.34575590476191,-21.960548,1.650564,16.5257653333333,3.05958177777778,4.589372,-12.399356,1,21,5,0,1,0,5,4,0,3,2.95,8.943534,-2.299636,-6.39799666666667,.74483802564103,17.0461442222222,-16.5187375128205,19.8809523333333,-20.341597,3.12689722222222,-28.0510016666667,3.70674,-41.0291437777778,-21.0101703333333,-10.5235046666667,-7.57020766666667,10.2641163333333,1.09289666666666,8.01457233333334,-19.7328478888889,6.8609588888889,-6.440084,25.1552797142857,-5.29388133333335,-2.51610266666665,-4.307568,-19.1626404444444,12.9227053333333,12.600644
1010,D,A,8010,AD,10,10.03, , , , , , ,3,5,3,2,2,5,3,2,2,3,3,2,2,2,5,2.93333333333333,1,3,4,3,2,3,5,5,4,3,6,6,5,5,4,3,3,5,3,3,4,2,3,5,5,5,2,6,5,5,5,2,3,1,1,19,5,99,1,99,5,2,Music Humanities,3,3.4,5.61020066666666,18.5336973333333,-2.23133,7.15509443589744,-3.78718911111111,-22.9289939230769,6.547619,16.3250696666667,-28.8175472222222,5.28233166666666,25.9289622222222,17.3041895555555,17.5314963333333,-39.6901713333333,-13.1257632222222,1.93078300000001,-8.90710333333333,-4.48542766666667,-19.7328478888889,-18.1390411111111,-18.940084,1.34575590476191,-21.960548,1.650564,16.5257653333333,3.05958177777778,4.589372,-12.399356,1,18,2,0,2,0,5,1,0,2,3.7,-17.7231326666667,-6.46630266666667,-39.73133,-21.0500337692308,17.0461442222222,-35.7495067435897,-15.1190476666667,-10.341597,-52.4286583333333,-3.05100166666665,20.3734066666667,6.19307844444446,9.198163,-43.856838,-15.903541,3.59744966666668,1.09289666666666,-23.2354276666667,-30.843959,-32.02793,-31.440084,-31.9875774285714,19.7061186666667,-10.849436,-12.6409013333333,-2.49597377777779,-37.0772946666667,4.26731066666666
